"date_reported","type","ctar","id_ctar","distcode","commcode","known_cat1","source","no_patients"
2016-12-30,"new","Moramanga",8,"MG33314","MG33314110",0,"Moramanga",2
2016-12-31,"new","Moramanga",8,"MG33314","MG33314070",0,"Moramanga",1
2017-01-01,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",1
2017-01-02,"new","Moramanga",8,"MG33314","MG33314110",0,"Moramanga",1
2017-01-03,"new","Moramanga",8,"MG31306","MG31306171",0,"Moramanga",1
2017-01-04,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",1
2017-01-04,"new","Moramanga",8,"MG33314","MG33314030",0,"Moramanga",2
2017-01-05,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",2
2017-01-05,"new","Moramanga",8,"MG33314","MG33314291",0,"Moramanga",2
2017-01-07,"new","Moramanga",8,"MG33314","MG33314092",0,"Moramanga",1
2017-01-07,"new","Moramanga",8,"MG33314","MG33314110",0,"Moramanga",1
2017-01-09,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",4
2017-01-09,"new","Moramanga",8,"MG33314","MG33314030",0,"Moramanga",1
2017-01-09,"new","Moramanga",8,"MG33314","MG33314110",0,"Moramanga",1
2017-01-10,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",1
2017-01-10,"new","Moramanga",8,"MG33314","MG33314010",1,"Moramanga",3
2017-01-10,"new","Moramanga",8,"MG33314","MG33314110",0,"Moramanga",2
2017-01-10,"new","Moramanga",8,"MG33314","MG33314250",0,"Moramanga",5
2017-01-11,"new","Moramanga",8,"MG33314","MG33314030",0,"Moramanga",1
2017-01-12,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",2
2017-01-12,"new","Moramanga",8,"MG33314","MG33314070",0,"Moramanga",1
2017-01-12,"new","Moramanga",8,"MG33314","MG33314270",0,"Moramanga",2
2017-01-12,"new","Moramanga",8,"MG33317","MG33317011",0,"Moramanga",1
2017-01-13,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",2
2017-01-13,"new","Moramanga",8,"MG33314","MG33314070",0,"Moramanga",1
2017-01-14,"new","Moramanga",8,"MG33314","MG33314030",0,"Moramanga",1
2017-01-14,"new","Moramanga",8,"MG33314","MG33314350",0,"Moramanga",1
2017-01-15,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",1
2017-01-16,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",1
2017-01-17,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",1
2017-01-17,"new","Moramanga",8,"MG33314","MG33314030",0,"Moramanga",1
